,artist,title,albumart,time,channel
111,Jaded,In The Morning,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493709980.7603528,Electric Area
112,#TiestoSXM,Mon-Fri 10a-12pET,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493710160.7390099,Electric Area
113,MAKJ/Max Styler/Elayna Boynton,Knock Me Down,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493710220.8138409,Electric Area
114,Chace/Yade Lauren,Something About You,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493710400.7524385,Electric Area
115,R3hab/Zroq,Skydrop,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493710520.742519,Electric Area
116,Fedde Le Grand,Dancing Together,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493710760.763254,Electric Area
117,New Music Alert,On Electric Area,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493710880.760341,Electric Area
118,Matroda,Get Down,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493710940.752484,Electric Area
119,The Chainsmokers,It Won't Kill Ya (feat. Louane),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493711120.748309,Electric Area
120,Chris Lake,I Want You,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493711300.7402565,Electric Area
121,Yellow Claw,Open (ft. Moksi & John Fraser),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493711540.7740545,Electric Area
122,What So Not,Gemini (feat. George Maple),http://www.siriusxm.com/albumart/Live/0730/whatsonot_56D022A7_m.jpg,1493711720.7560596,Electric Area
123,Eric Prydz #Ultra2014,Power Drive/Mokba EPIC 2.0,http://www.siriusxm.com/albumart/Live/0730/ericprydzult_541973A4_m.jpg,1493711960.7675402,Electric Area
124,Jay Hardway,Scio,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493712560.7462873,Electric Area
125,Marshmello,Show YoU,http://www.siriusxm.com/albumart/Live/0800/marshmello_5696193D_s.jpg,1493712740.7285151,Electric Area
126,Electric Area,@sxmElectro,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493712920.7924573,Electric Area
127,Bassnectar/ATLiens,Interlock,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493712980.7926571,Electric Area
