,artist,title,albumart,time,channel
57,Showtek/Brooks feat. Natalie Major,On Our Own,http://www.siriusxm.com/albumart/Live/0730/showtekbrook_58F74D2C_m.jpg,1493365048.2534685,
58,Martin Solveig,Places,http://www.siriusxm.com/albumart/Live/0730/martinsolvei_58C7227F_m.jpg,1493365228.2758114,
59,The Chainsmokers/Chris Martin,Something Just Like This-Dirty Nano,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493365408.2737048,
60,Illenium/Nevve,Fractures,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493365648.2595012,
61,Cedric Gervais,Touch the Sky,http://www.siriusxm.com/albumart/Live/0730/cedricgervai_58E6C077_m.jpg,1493365948.2856214,
62,Marshmello/Ookay/Noah Cyrus,Chasing Colors,http://www.siriusxm.com/albumart/Live/0730/marshmellooo_58B09AA6_m.jpg,1493366068.2668116,
63,Alesso,Sweet Escape,http://www.siriusxm.com/albumart/Live/0730/alesso_55E1A3A8_m.jpg,1493366248.1955855,
64,k?d,Lose Myself,http://www.siriusxm.com/albumart/Live/0800/kd_58CCD161_m.jpg,1493366488.266584,
65,Bonnie x Clyde,Bass Jam,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493366728.2550266,
66,Armin van Buuren,I Need You (f/Fernando Garibay),http://www.siriusxm.com/albumart/Live/0800/arminvanbuur_586FAF45_m.jpg,1493366968.2581108,
67,Julie Bergan,Arigato-Scene Kings Remix,http://www.siriusxm.com/albumart/Live/0800/juliebergan_58EF9F52_m.jpg,1493367148.2551026,
68,Benny Benassi/Gary Go,Cinema-Skrillex Remix,http://www.siriusxm.com/albumart/Live/0800/bennybenassi_57D9E861_m.jpg,1493367448.2561128,
69,Nervo,In Your Arms,http://www.siriusxm.com/albumart/Live/0800/nervo_58C79CFF_m.jpg,1493367568.2467926,
70,Above & Beyond/OceanLab,Another Chance,http://www.siriusxm.com/albumart/Live/0800/abovebeyondo_5819B2D0_m.jpg,1493367808.2735329,
71,Major Lazer/Nyla/Fuse ODG,Light It Up Remix,http://www.siriusxm.com/albumart/Live/0800/majorlazerny_58C78165_m.jpg,1493367988.2394252,
72,Grandtheft/Delaney Jane,Easy Go,http://www.siriusxm.com/albumart/Live/0800/grandtheftde_59022052_m.jpg,1493368168.2365804,
73,Lost Kings/Tinashe,Quit You (ToWonder Remix),http://www.siriusxm.com/albumart/Live/0830/lostkingstin_58FE1420_m.jpg,1493368348.2421598,
74,The Chainsmokers,Paris (Zack Martino Remix),http://www.siriusxm.com/albumart/Live/0830/thechainsmok_58A5856B_m.jpg,1493368528.252383,
75,DJ Snake/Mr. Hudson,Here Comes The Night (NGHTMRE Remix,http://www.siriusxm.com/albumart/Live/0830/djsnakemrhud_58E44EC6_m.jpg,1493368768.2995856,
76,#betaBPM @LiquidTodd,Tues 10pET,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493369008.2545767,
77,Martin Garrix/Dua Lipa,Scared To Be Lonely-Brooks Remix,http://www.siriusxm.com/albumart/Live/0830/martingarrix_58B9C94C_m.jpg,1493369068.2761393,
78,Audien/Max,One More Weekend,http://www.siriusxm.com/albumart/Live/0830/audienmax_58F75B80_m.jpg,1493369248.2674944,
79,Axwell/\\Ingrosso/Kid Ink,I Love You,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493369488.290484,
80,Alesso/Tove Lo,Heroes (we could be),http://www.siriusxm.com/albumart/Live/0830/alessotovelo_58C7D2BB_m.jpg,1493369668.281999,
81,Slushii\\Marshmello,Twinbow,http://www.siriusxm.com/albumart/Live/0830/slushiimarsh_58CC093B_m.jpg,1493369848.3427668,
82,Phantoms/Verite,Just A Feeling,http://www.siriusxm.com/albumart/Live/0900/phantomsveri_58EF16DB_m.jpg,1493370028.2568445,
