,artist,title,albumart,time,channel
65,Maroon 5,Cold,http://www.siriusxm.com/albumart/Live/0730/maroon5_58A5F7DE_m.jpg,1493365528.2770047,SiriusXM Hits 1
66,Bruno Mars,That's What I Like,http://www.siriusxm.com/albumart/Live/0730/brunomars_58C80E78_m.jpg,1493365768.2474506,SiriusXM Hits 1
67,The Vamps/Matoma,All Night,http://www.siriusxm.com/albumart/Live/0730/thevampsmato_5893B63C_m.jpg,1493365948.2886233,SiriusXM Hits 1
68,Panic! At The Disco,Victorious,http://www.siriusxm.com/albumart/Live/0730/panicatthedi_561BBC2E_m.jpg,1493366128.4266338,SiriusXM Hits 1
69,James Hersey,Miss You,http://www.siriusxm.com/albumart/Live/0730/jameshersey_5893B5AD_m.jpg,1493366308.2777164,SiriusXM Hits 1
70,Clean Bandit/Sean Paul/Anne Marie,Rockabye,http://www.siriusxm.com/albumart/Live/0800/cleanbandits_58CA6C3E_m.jpg,1493366488.2874222,SiriusXM Hits 1
71,Halsey,Now Or Never,http://www.siriusxm.com/albumart/Live/0800/halsey_58ED44AB_m.jpg,1493366668.308949,SiriusXM Hits 1
72,Zayn/Taylor Swift,I Don't Wanna Live Forever,http://www.siriusxm.com/albumart/Live/0800/zayntaylorsw_589F2ED7_m.jpg,1493366908.273556,SiriusXM Hits 1
73,FB/SiriusXMHits1,Trending NOW!,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_2.jpg,1493367148.28229,SiriusXM Hits 1
74,Ed Sheeran,Castle On The Hill,http://www.siriusxm.com/albumart/Live/0800/edsheeran_5870714F_m.jpg,1493367268.2903113,SiriusXM Hits 1
75,Lady Gaga,The Cure,http://www.siriusxm.com/albumart/Live/0800/ladygaga_58F85D58_m.jpg,1493367448.2871213,SiriusXM Hits 1
76,Imagine Dragons,Believer,http://www.siriusxm.com/albumart/Live/0800/imaginedrago_590247DE_m.jpg,1493367628.2609065,SiriusXM Hits 1
