,channel,artist,title,albumart,time
735,Alt Nation,fb.com/altnation,@altnation,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527180435.4163148
736,Alt Nation,Bear Hands,Back Seat Driver (Spirit Guide),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527180555.322043
737,Alt Nation,Kings Of Leon,Use Somebody,http://www.siriusxm.com/albumart/Live/1630/kingsofleon_5A1FC7FB_m.jpg,1527180675.3114107
738,Alt Nation,Mike Shinoda,Crossing A Line,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527180915.320763
739,Alt Nation,Coldplay,Yellow,http://www.siriusxm.com/albumart/Live/1630/coldplay_58224192_m.jpg,1527181155.3456693
740,Alt Nation,fb.com/altnation,@altnation,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527181395.3099985
741,Alt Nation,Sofi Tukker,Baby I'm A Queen,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527181455.3355598
742,Alt Nation,Nathaniel Rateliff & The Night Swea,You Worry Me,http://www.siriusxm.com/albumart/Live/1700/nathanielrat_5AA3D37E_m.jpg,1527181635.4589615
743,Alt Nation,Cage The Elephant,Mess Around,http://www.siriusxm.com/albumart/Live/1700/cagetheeleph_5A982630_m.jpg,1527181875.3197978
744,Alt Nation,lovelytheband,these are my friends,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527182055.3041632
745,Alt Nation,My Chemical Romance,Welcome To The Black Parade,http://www.siriusxm.com/albumart/Live/1700/mychemicalro_581112E8_m.jpg,1527182295.3097394
746,Alt Nation,Mansionair,Astronaut (Something About Your Lov,http://www.siriusxm.com/albumart/Live/1700/mansionair_5A977A74_m.jpg,1527182595.3569744
747,Alt Nation,White Stripes,Fell In Love With A Girl,http://www.siriusxm.com/albumart/Live/1700/whitestripes_588051B4_m.jpg,1527182775.3016872
748,Alt Nation,Mansionair,Violet City,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527182895.2971668
749,Alt Nation,Arcade Fire,Everything Now,http://www.siriusxm.com/albumart/Live/1730/arcadefire_597F873A_m.jpg,1527183135.303625
750,Alt Nation,Thursday DL,w/ @kadeshow,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527183435.382776
751,Alt Nation,James Bay,Pink Lemonade,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527183495.344862
752,Alt Nation,Portugal. The Man,Live In The Moment,http://www.siriusxm.com/albumart/Live/1730/portugalthem_599334F9_m.jpg,1527183735.3221462
753,Alt Nation,King Princess,1950,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527184035.3076296
754,Alt Nation,King Princess,1950,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527184095.296533
755,Alt Nation,King Princess,1950,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527184155.3114939
756,Alt Nation,Awolnation,Sail,http://www.siriusxm.com/albumart/Live/1730/awolnation_56C3353E_m.jpg,1527184215.276989
757,Alt Nation,Nothing But Thieves,Sorry,http://www.siriusxm.com/albumart/Live/1730/nothingbutth_5AA55A63_m.jpg,1527184455.3348062
758,Alt Nation,Two Feet,I Feel Like I'm Drowning,http://www.siriusxm.com/albumart/Live/1730/twofeet_5A9785D5_m.jpg,1527184695.33661
759,Alt Nation,Bastille,Quarter Past Midnight,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527184875.293525
760,Alt Nation,AJR/Rivers Cuomo,Sober Up,http://www.siriusxm.com/albumart/Live/1800/ajrriverscuo_5A97916B_m.jpg,1527185115.3420663
761,Alt Nation,Imagine Dragons,Whatever It Takes,http://www.siriusxm.com/albumart/Live/1800/imaginedrago_59205006_m.jpg,1527185295.328568
762,Alt Nation,Arctic Monkeys,Do I Wanna Know,http://www.siriusxm.com/albumart/Live/1800/arcticmonkey_5ADE5796_m.jpg,1527185535.3197734
763,Alt Nation,fb.com/altnation,@altnation,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527185775.3686974
764,Alt Nation,LSD,Genius,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527185835.3287773
765,Alt Nation,Black Keys,Howlin' For You,http://www.siriusxm.com/albumart/Live/1800/blackkeys_5AE7CD8E_m.jpg,1527186015.4358234
766,Alt Nation,@altnation,fb.com/altnation,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527186195.3192804
767,Alt Nation,Vance Joy,Saturday Sun,http://www.siriusxm.com/albumart/Live/1800/vancejoy_5AA3E5ED_m.jpg,1527186255.3024793
768,Alt Nation,Modest Mouse,Lampshades On Fire,http://www.siriusxm.com/albumart/Live/1800/modestmouse_55CAEA31_m.jpg,1527186435.3607411
769,Alt Nation,fb.com/altnation,@altnation,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527186615.3364208
770,Alt Nation,The Knocks/Foster The People,Ride Or Die,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527186675.7004488
771,Alt Nation,Sir Sly,&Run,http://www.siriusxm.com/albumart/Live/1830/sirsly_5AA5424E_m.jpg,1527186855.3194654
772,Alt Nation,Foo Fighters,Best Of You,http://www.siriusxm.com/albumart/Live/1830/foofighters_55F1A79F_m.jpg,1527187095.3429418
773,Alt Nation,Walk The Moon,Kamikaze,http://www.siriusxm.com/albumart/Live/1830/walkthemoon_5A983D9B_m.jpg,1527187335.4174411
774,Alt Nation,CHVRCHES,Miracle,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527187575.629783
775,Alt Nation,Grouplove,Tongue Tied,http://www.siriusxm.com/albumart/Live/1830/grouplove_58D43229_m.jpg,1527187755.33665
776,Alt Nation,Cold War Kids,Love Is Mystical,http://www.siriusxm.com/albumart/Live/1830/coldwarkids_5893B91F_m.jpg,1527187995.6296642
777,Alt Nation,Muse,Thought Contagion,http://www.siriusxm.com/albumart/Live/1830/muse_5AA3CFF5_m.jpg,1527188235.2919414
778,Alt Nation,Andrew McMahon In The Wilderness,Ohio,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527188415.362173
779,Alt Nation,Advanced Placement,w/ @altregan,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527188715.6975968
780,Alt Nation,DREAMERS,Screws,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527188775.610063
781,Alt Nation,Amy Shark,I Said Hi,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527188955.6242287
782,Alt Nation,Welshly Arms,Sanctuary,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527189195.659931
783,Alt Nation,CHVRCHES,Graffiti,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527189375.6239474
784,Alt Nation,The Record Company,Life To Fix,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527189615.6086473
785,Alt Nation,Jukebox The Ghost,Everybody's Lonely,http://www.siriusxm.com/albumart/Live/1900/jukeboxthegh_5AB5B761_m.jpg,1527189855.679676
786,Alt Nation,Advanced Placement,w/ @altregan,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527190035.3908422
787,Alt Nation,Thutmose/NoMBe,Run Wild,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527190095.6833856
788,Alt Nation,Jacob Banks,Chainsmoking,http://www.siriusxm.com/albumart/Live/1930/jacobbanks_5ACFB1BF_m.jpg,1527190275.6076708
789,Alt Nation,Crystal Fighters,Boomin' In Your Jeep,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527190515.3533823
790,Alt Nation,Advanced Placement,Today 10pm ET,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527190695.6951952
791,Alt Nation,Gorillaz,Feel Good Inc.,http://www.siriusxm.com/albumart/Live/1930/gorillaz_59BACD14_m.jpg,1527190755.5967102
792,Alt Nation,The Wombats,Turn,http://www.siriusxm.com/albumart/Live/1930/thewombats_5A979EF7_m.jpg,1527190995.625189
793,Alt Nation,Death Cab For Cutie,Soul Meets Body,http://www.siriusxm.com/albumart/Live/1930/deathcabforc_58224157_m.jpg,1527191175.5919747
794,Alt Nation,MISSIO,Bottom Of The Deep Blue Sea,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527191355.5879214
